timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-03-11 02:00:00,Kancheepuram,2,0,3,36,2.0,421,70,1500,0,0,0,expressway,7,1,bus,Low
2024-03-20 09:00:00,Karur,9,2,3,41,0.8,708,19,800,0,0,0,arterial,2,2,heavyvehicle,Critical
2024-05-07 05:00:00,Thoothukudi,5,1,5,37,5.0,416,14,500,0,0,0,local,3,1,cycle,High
2024-03-10 08:00:00,Ariyalur,8,6,3,37,0.8,570,19,800,0,1,0,arterial,2,1,cycle,High
2024-12-21 00:00:00,Tiruppur,0,5,12,31,0.7,495,61,1200,0,1,0,highway,5,2,bus,Medium
2024-10-10 11:00:00,Krishnagiri,11,3,10,27,13.4,453,61,1200,0,0,0,highway,5,0,truck,Medium
2024-07-22 15:00:00,Kallakurichi,15,0,7,32,1.0,432,50,1200,0,0,0,highway,5,3,3wheeler,Medium
2024-03-31 06:00:00,Thanjavur,6,6,3,35,1.7,458,53,1200,0,1,0,highway,5,0,car,Low
2024-06-13 06:00:00,Ramanathapuram,6,3,6,38,12.3,449,15,500,0,0,1,local,2,0,heavyvehicle,High
2024-11-02 08:00:00,Ramanathapuram,8,5,11,28,1.6,669,60,1500,0,1,0,expressway,7,3,2wheeler,High
2024-01-01 15:00:00,Dindigul,15,0,1,25,3.3,429,65,1200,0,0,0,highway,4,0,bus,Low
2024-06-30 22:00:00,Thanjavur,22,6,6,35,1.8,445,20,500,0,1,0,local,3,0,cycle,High
2024-02-24 18:00:00,Kallakurichi,18,5,2,29,1.0,648,13,500,0,1,0,local,2,0,car,Critical
2024-12-24 01:00:00,Virudhunagar,1,1,12,25,25.8,491,10,500,0,0,0,local,3,1,car,Critical
2024-02-21 12:00:00,Tiruvannamalai,12,2,2,23,0.3,490,5,500,0,0,0,local,2,0,3wheeler,High
2024-10-15 06:00:00,Ramanathapuram,6,1,10,27,1.9,473,48,1200,0,0,0,highway,5,0,truck,Medium
2024-03-12 15:00:00,Thoothukudi,15,1,3,40,12.0,384,21,500,0,0,0,local,3,0,car,High
2024-05-31 22:00:00,Thanjavur,22,4,5,39,12.5,495,50,1200,0,0,0,highway,5,0,cycle,Medium
2024-12-03 18:00:00,Thanjavur,18,1,12,25,1.1,619,46,1200,0,0,0,highway,4,0,3wheeler,Medium
2024-05-28 18:00:00,Coimbatore,18,1,5,36,1.8,770,9,800,0,0,0,arterial,2,2,bus,Critical
2024-05-20 10:00:00,Theni,10,0,5,38,5.5,474,69,1500,0,0,0,expressway,6,0,2wheeler,Low
2024-08-14 18:00:00,Dindigul,18,2,8,33,6.3,605,21,800,0,0,0,arterial,3,2,3wheeler,High
2024-03-30 16:00:00,Tirunelveli,16,5,3,41,0.4,481,83,1500,0,1,0,expressway,7,0,truck,Low
2024-12-11 11:00:00,Tirunelveli,11,2,12,31,0.1,522,72,1500,0,0,0,expressway,7,1,mixed,Low
2024-07-07 12:00:00,Karur,12,6,7,28,0.5,408,80,1500,0,1,0,expressway,7,0,truck,Low
2024-04-11 21:00:00,Sivaganga,21,3,4,40,1.6,427,51,1200,0,0,0,highway,5,1,3wheeler,Medium
2024-12-08 00:00:00,Ramanathapuram,0,6,12,28,0.8,475,53,1200,0,1,0,highway,4,0,3wheeler,Medium
2024-08-15 08:00:00,Thanjavur,8,3,8,31,5.3,743,61,1500,0,0,0,expressway,6,0,car,Medium
2024-11-29 15:00:00,Ariyalur,15,4,11,27,5.3,405,56,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-06-05 11:00:00,Kallakurichi,11,2,6,40,1.3,403,83,1500,0,0,0,expressway,6,0,3wheeler,Low
2024-07-01 04:00:00,Kallakurichi,4,0,7,29,1.4,410,72,1500,0,0,0,expressway,6,0,cycle,Low
2024-04-13 04:00:00,Tiruchirappalli,4,5,4,35,0.7,458,57,1200,0,1,0,highway,5,1,car,Medium
2024-11-21 04:00:00,Kallakurichi,4,3,11,26,1.2,429,32,800,0,0,0,arterial,2,0,bus,Medium
2024-05-09 06:00:00,Tiruvallur,6,3,5,35,1.7,499,31,800,0,0,0,arterial,2,2,cycle,High
2024-07-15 19:00:00,Tiruvarur,19,0,7,28,1.6,697,58,1500,0,0,0,expressway,7,0,cycle,Medium
2024-05-26 04:00:00,Chennai,4,6,5,38,13.5,627,5,500,0,1,0,local,3,1,truck,Critical
2024-04-08 17:00:00,Tiruvallur,17,0,4,38,12.0,634,74,1500,0,0,0,expressway,6,0,lcv,Medium
2024-06-11 01:00:00,Kallakurichi,1,1,6,37,0.1,455,63,1200,0,0,0,highway,4,0,3wheeler,Low
2024-04-11 18:00:00,Dharmapuri,18,3,4,41,0.6,694,42,1200,0,0,0,highway,5,2,bus,High
2024-06-06 17:00:00,Dharmapuri,17,3,6,40,0.1,700,27,800,0,0,0,arterial,3,0,cycle,High
2024-06-27 15:00:00,Pudukkottai,15,3,6,36,1.8,459,35,800,0,0,0,arterial,2,1,truck,Medium
2024-05-30 20:00:00,Tiruchirappalli,20,3,5,39,1.7,609,20,800,0,0,0,arterial,3,0,bus,High
2024-11-15 09:00:00,Mayiladuthurai,9,4,11,29,0.1,642,50,1200,0,0,0,highway,5,0,2wheeler,Medium
2024-02-16 08:00:00,Ramanathapuram,8,4,2,29,1.3,684,41,1200,0,0,0,highway,5,0,bus,Medium
2024-06-05 01:00:00,Tiruvallur,1,2,6,38,1.1,409,63,1200,0,0,0,highway,5,1,bus,Medium
2024-10-13 22:00:00,Krishnagiri,22,6,10,29,1.6,423,66,1200,0,1,0,highway,5,0,bus,Medium
2024-03-14 23:00:00,Tirupathur,23,3,3,39,1.6,500,53,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-05-03 11:00:00,Tiruvallur,11,4,5,39,1.3,412,28,800,0,0,0,arterial,2,0,truck,Medium
2024-12-28 03:00:00,Kanyakumari,3,5,12,28,0.3,458,10,500,0,1,0,local,3,0,mixed,High
2024-06-18 06:00:00,Sivaganga,6,1,6,38,0.2,378,38,800,0,0,0,arterial,2,0,heavyvehicle,Medium
2024-04-17 06:00:00,Viluppuram,6,2,4,41,0.5,377,60,1200,0,0,0,highway,4,3,3wheeler,Medium
2024-01-17 01:00:00,Tiruchirappalli,1,2,1,29,0.5,580,77,1500,0,0,0,expressway,7,1,2wheeler,Medium
2024-03-27 02:00:00,Mayiladuthurai,2,2,3,40,12.1,462,34,800,0,0,0,arterial,2,0,2wheeler,Medium
2024-02-26 18:00:00,Perambalur,18,0,2,23,1.5,575,53,1200,0,0,0,highway,5,0,mixed,Medium
2024-07-16 15:00:00,Tiruchirappalli,15,1,7,31,1.0,562,72,1500,0,0,0,expressway,6,0,mixed,Low
2024-01-25 07:00:00,Salem,7,3,1,24,1.2,788,5,500,0,0,0,local,3,1,truck,Critical
2024-11-15 01:00:00,Kallakurichi,1,4,11,26,1.8,446,33,800,0,0,0,arterial,3,1,car,Medium
2024-03-09 03:00:00,Cuddalore,3,5,3,38,0.5,492,33,800,0,1,0,arterial,3,0,heavyvehicle,Medium
2024-04-06 15:00:00,Tiruvarur,15,5,4,37,2.0,478,6,500,0,1,0,local,2,1,truck,High
2024-12-15 17:00:00,Nilgiris,17,6,12,30,13.8,697,44,1200,0,1,0,highway,4,1,cycle,High
2024-09-12 04:00:00,Ranipet,4,3,9,32,1.7,501,27,800,0,0,0,arterial,2,0,mixed,Medium
2024-05-09 03:00:00,Coimbatore,3,3,5,41,1.0,564,58,1200,0,0,0,highway,4,1,truck,Medium
2024-08-20 22:00:00,Tenkasi,22,1,8,30,1.2,380,74,1500,0,0,0,expressway,6,0,truck,Low
2024-09-14 18:00:00,Tirupathur,18,5,9,32,5.0,709,56,1500,0,1,0,expressway,7,0,heavyvehicle,Medium
2024-04-23 07:00:00,Thanjavur,7,1,4,38,1.7,650,5,500,0,0,0,local,3,0,lcv,Critical
2024-02-07 19:00:00,Tenkasi,19,2,2,27,0.5,721,25,800,0,0,0,arterial,2,0,lcv,High
2024-12-27 17:00:00,Thoothukudi,17,4,12,30,0.0,713,40,1200,0,0,0,highway,4,0,car,Medium
2024-03-07 19:00:00,Theni,19,3,3,40,1.1,669,65,1500,0,0,0,expressway,6,0,lcv,Medium
2024-01-27 18:00:00,Thanjavur,18,5,1,28,25.6,711,8,500,0,1,0,local,3,0,2wheeler,Critical
2024-07-15 05:00:00,Nagapattinam,5,0,7,32,1.2,523,46,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-10-15 05:00:00,Cuddalore,5,1,10,28,0.4,437,20,500,0,0,0,local,2,1,heavyvehicle,High
2024-11-12 12:00:00,Dharmapuri,12,1,11,26,1.7,430,6,500,0,0,0,local,2,0,3wheeler,High
2024-04-11 12:00:00,Nagapattinam,12,3,4,38,0.4,434,86,1500,0,0,0,expressway,6,3,lcv,Medium
2024-09-29 05:00:00,Nilgiris,5,6,9,33,12.1,497,38,800,0,1,0,arterial,2,0,2wheeler,Medium
2024-03-07 13:00:00,Vellore,13,3,3,35,26.7,552,80,1500,0,0,0,expressway,6,0,mixed,Medium
2024-09-10 13:00:00,Pudukkottai,13,1,9,30,5.9,431,28,800,0,0,0,arterial,2,0,heavyvehicle,Medium
2024-07-29 09:00:00,Tiruppur,9,0,7,30,2.2,781,9,500,0,0,0,local,2,0,lcv,Critical
2024-06-30 06:00:00,Kancheepuram,6,6,6,35,5.7,477,52,1200,0,1,0,highway,5,0,car,Low
2024-02-24 03:00:00,Tiruvarur,3,5,2,25,0.7,498,71,1500,0,1,1,expressway,7,1,mixed,Medium
2024-10-05 16:00:00,Kallakurichi,16,5,10,26,1.2,412,20,500,0,1,0,local,3,0,2wheeler,High
2024-08-25 09:00:00,Dindigul,9,6,8,29,1.1,619,18,800,0,1,0,arterial,3,0,lcv,High
2024-06-10 16:00:00,Tenkasi,16,0,6,39,1.4,518,73,1500,0,0,0,expressway,7,0,2wheeler,Low
2024-01-02 01:00:00,Chengalpattu,1,1,1,25,0.6,429,53,1200,0,0,0,highway,4,1,truck,Medium
2024-05-07 00:00:00,Karur,0,1,5,40,0.9,445,71,1500,0,0,0,expressway,6,0,bus,Low
2024-11-02 03:00:00,Ariyalur,3,5,11,28,0.0,384,37,800,0,1,0,arterial,3,0,mixed,Medium
2024-09-22 20:00:00,Nagapattinam,20,6,9,28,1.2,515,12,500,0,1,0,local,2,0,bus,High
2024-01-30 09:00:00,Tiruchirappalli,9,1,1,27,26.7,706,50,1200,0,0,0,highway,4,2,car,High
2024-06-04 13:00:00,Tirupathur,13,1,6,40,1.3,481,75,1500,0,0,1,expressway,7,1,mixed,Low
2024-10-05 14:00:00,Tiruvarur,14,5,10,30,0.9,371,45,800,0,1,0,arterial,2,0,mixed,Medium
2024-07-03 22:00:00,Nilgiris,22,2,7,27,0.3,525,59,1200,0,0,0,highway,5,0,cycle,Medium
2024-02-04 01:00:00,Kanyakumari,1,6,2,24,13.3,460,27,800,0,1,0,arterial,3,0,cycle,High
2024-11-11 19:00:00,Thanjavur,19,0,11,25,1.5,670,39,1200,0,0,0,highway,4,0,bus,High
2024-12-29 21:00:00,Chengalpattu,21,6,12,31,1.0,455,8,500,0,1,0,local,2,3,mixed,Critical
2024-11-23 07:00:00,Perambalur,7,5,11,28,3.1,657,44,1200,0,1,0,highway,5,0,heavyvehicle,High
2024-07-08 19:00:00,Ramanathapuram,19,0,7,30,1.0,602,14,500,0,0,0,local,2,1,2wheeler,Critical
2024-06-30 08:00:00,Viluppuram,8,6,6,41,1.0,620,48,1200,0,1,0,highway,4,0,2wheeler,Medium
2024-05-03 07:00:00,Tiruchirappalli,7,4,5,41,3.0,781,58,1500,0,0,0,expressway,6,0,lcv,Medium
2024-04-24 18:00:00,Pudukkottai,18,2,4,35,3.8,677,52,1200,0,0,0,highway,4,0,bus,Medium
2024-11-14 04:00:00,Chengalpattu,4,3,11,25,6.6,469,59,1200,0,0,0,highway,5,0,car,Low
2024-06-17 04:00:00,Nagapattinam,4,0,6,36,0.1,376,79,1500,0,0,0,expressway,6,0,2wheeler,Low
2024-07-14 01:00:00,Tenkasi,1,6,7,27,1.1,424,64,1200,0,1,0,highway,4,0,cycle,Medium
2024-07-31 07:00:00,Nagapattinam,7,2,7,28,1.3,640,29,800,0,0,0,arterial,3,0,heavyvehicle,High
2024-01-14 11:00:00,Ariyalur,11,6,1,26,26.5,413,39,800,1,1,0,arterial,2,0,lcv,High
2024-05-30 07:00:00,Kancheepuram,7,3,5,39,0.4,590,62,1500,0,0,0,expressway,7,0,heavyvehicle,Medium
2024-05-17 16:00:00,Nilgiris,16,4,5,40,1.9,445,72,1500,0,0,0,expressway,7,1,3wheeler,Low
2024-05-19 11:00:00,Tirupathur,11,6,5,40,26.6,514,17,500,0,1,0,local,3,0,heavyvehicle,Critical
2024-10-09 18:00:00,Perambalur,18,2,10,31,1.5,584,21,800,0,0,0,arterial,3,0,cycle,High
2024-05-24 11:00:00,Nagapattinam,11,4,5,36,0.1,492,52,1200,0,0,0,highway,5,0,mixed,Low
2024-04-09 17:00:00,Kallakurichi,17,1,4,35,26.2,654,39,1200,0,0,0,highway,4,1,heavyvehicle,High
2024-05-06 15:00:00,Vellore,15,0,5,41,1.7,460,84,1500,0,0,0,expressway,6,0,car,Low
2024-04-01 01:00:00,Tirunelveli,1,0,4,40,1.0,461,73,1500,0,0,0,expressway,7,0,lcv,Low
2024-12-27 20:00:00,Kallakurichi,20,4,12,25,5.7,452,52,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-07-17 02:00:00,Krishnagiri,2,2,7,27,5.1,444,73,1500,0,0,0,expressway,7,0,cycle,Low
2024-03-06 07:00:00,Thoothukudi,7,2,3,41,0.6,615,26,800,0,0,0,arterial,2,1,mixed,High
2024-11-27 00:00:00,Tiruppur,0,2,11,27,5.6,548,5,500,0,0,0,local,3,2,car,Critical
2024-12-21 02:00:00,Krishnagiri,2,5,12,25,25.6,528,55,1200,0,1,0,highway,4,0,3wheeler,Medium
2024-06-18 15:00:00,Dharmapuri,15,1,6,36,0.4,515,29,800,0,0,0,arterial,2,0,bus,Medium
2024-05-03 00:00:00,Coimbatore,0,4,5,41,0.2,648,5,500,0,0,0,local,3,0,cycle,Critical
2024-08-06 21:00:00,Viluppuram,21,1,8,30,0.4,388,17,500,0,0,0,local,3,3,lcv,High
2024-11-22 00:00:00,Dindigul,0,4,11,25,1.2,428,7,500,0,0,0,local,3,0,2wheeler,High
2024-10-04 10:00:00,Ranipet,10,4,10,25,0.6,404,34,800,0,0,0,arterial,2,0,heavyvehicle,Medium
2024-10-17 20:00:00,Tiruvallur,20,3,10,30,0.3,384,20,500,0,0,0,local,2,0,heavyvehicle,High
2024-05-09 02:00:00,Chengalpattu,2,3,5,35,25.6,483,55,1200,0,0,0,highway,5,3,3wheeler,Medium
2024-01-24 00:00:00,Salem,0,2,1,25,0.1,514,37,800,0,0,0,arterial,3,0,3wheeler,Medium
2024-01-22 09:00:00,Dharmapuri,9,0,1,25,1.4,641,39,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-11-28 07:00:00,Salem,7,3,11,25,1.6,730,10,500,0,0,0,local,3,0,2wheeler,Critical
