timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-10-19 00:00:00,Madurai,8,5,10,26,6.3,722,26,800,0,1,0,arterial,3,0,cycle,Critical
2024-02-08 00:00:00,Kallakurichi,9,3,2,28,0.6,677,24,800,0,0,0,arterial,2,0,truck,High
2024-06-04 00:00:00,Nilgiris,7,1,6,36,0.5,682,38,1200,0,0,0,highway,5,2,cycle,High
2024-07-06 00:00:00,Kallakurichi,8,5,7,31,2.6,681,59,1500,0,1,0,expressway,7,0,heavyvehicle,Medium
2024-07-30 00:00:00,Kallakurichi,7,1,7,29,1.1,647,61,1500,0,0,0,expressway,6,2,mixed,Medium
2024-02-19 00:00:00,Sivaganga,7,0,2,27,0.5,680,16,500,0,0,0,local,3,0,car,Critical
2024-05-16 00:00:00,Tenkasi,8,3,5,39,0.4,615,52,1200,0,0,0,highway,5,0,3wheeler,Medium
2024-06-12 00:00:00,Kallakurichi,7,2,6,36,13.0,673,70,1500,0,0,0,expressway,6,0,bus,Medium
2024-05-19 00:00:00,Tiruvallur,8,6,5,39,12.3,612,31,800,0,1,0,arterial,3,0,cycle,High
2024-09-07 00:00:00,Ariyalur,9,5,9,29,0.1,676,13,800,0,1,0,arterial,2,0,cycle,High
2024-08-20 00:00:00,Thoothukudi,7,1,8,32,3.8,698,67,1500,0,0,0,expressway,7,0,cycle,Medium
2024-09-23 00:00:00,Tiruvallur,7,0,9,33,1.2,728,8,500,0,0,1,local,2,0,car,Critical
2024-02-29 00:00:00,Karur,8,3,2,28,25.6,592,5,500,0,0,0,local,2,0,car,Critical
2024-07-24 00:00:00,Cuddalore,8,2,7,29,0.2,721,24,800,0,0,0,arterial,2,1,3wheeler,High
2024-12-21 00:00:00,Tiruvallur,9,5,12,31,0.2,712,64,1500,0,1,0,expressway,6,0,lcv,Medium
2024-11-08 00:00:00,Ramanathapuram,8,4,11,28,0.7,678,14,800,0,0,0,arterial,2,1,car,High
2024-05-24 00:00:00,Tenkasi,9,4,5,40,0.7,699,69,1500,0,0,0,expressway,7,0,bus,Medium
2024-09-01 00:00:00,Virudhunagar,8,6,9,33,2.1,673,15,500,0,1,0,local,2,0,2wheeler,Critical
2024-10-29 00:00:00,Mayiladuthurai,9,1,10,27,0.5,671,23,800,0,0,0,arterial,3,0,truck,High
2024-01-28 00:00:00,Dindigul,9,6,1,27,0.7,619,61,1500,0,1,0,expressway,7,0,2wheeler,Medium
2024-10-15 00:00:00,Mayiladuthurai,7,1,10,31,1.3,714,23,800,0,0,0,arterial,3,0,mixed,High
2024-06-25 00:00:00,Ariyalur,7,1,6,36,0.7,592,16,500,0,0,0,local,3,2,heavyvehicle,Critical
2024-08-29 00:00:00,Sivaganga,9,3,8,30,26.0,660,48,1200,0,0,0,highway,5,0,cycle,High
2024-03-19 00:00:00,Madurai,7,1,3,36,0.3,762,54,1500,0,0,0,expressway,7,0,car,Medium
2024-11-21 00:00:00,Viluppuram,8,3,11,28,1.5,580,15,500,0,0,0,local,3,0,3wheeler,Critical
2024-08-27 00:00:00,Nagapattinam,7,1,8,30,1.8,718,40,1200,0,0,0,highway,5,2,3wheeler,High
2024-03-01 00:00:00,Kallakurichi,7,4,3,38,13.0,644,13,500,0,0,0,local,2,0,lcv,Critical
2024-01-07 00:00:00,Ariyalur,9,6,1,24,0.8,594,45,1200,0,1,0,highway,5,0,lcv,Medium
2024-04-06 00:00:00,Tiruvarur,9,5,4,41,2.9,672,14,800,0,1,0,arterial,2,2,mixed,Critical
2024-07-02 00:00:00,Mayiladuthurai,9,1,7,28,1.6,574,47,1200,0,0,0,highway,4,2,cycle,High
2024-10-06 00:00:00,Virudhunagar,9,6,10,31,0.1,602,21,800,0,1,0,arterial,2,1,lcv,High
2024-12-20 00:00:00,Perambalur,7,4,12,28,0.1,616,62,1500,0,0,0,expressway,7,0,mixed,Medium
2024-04-05 00:00:00,Madurai,8,4,4,38,0.4,763,57,1500,0,0,0,expressway,6,0,cycle,High
2024-09-25 00:00:00,Krishnagiri,7,2,9,33,1.3,643,15,800,0,0,0,arterial,3,0,2wheeler,High
2024-03-15 00:00:00,Salem,9,4,3,41,1.7,699,18,800,0,0,0,arterial,2,0,mixed,Critical
2024-07-10 00:00:00,Tiruvallur,9,2,7,27,1.3,646,73,1500,0,0,0,expressway,7,0,2wheeler,Medium
2024-12-02 00:00:00,Chengalpattu,8,0,12,30,0.3,609,76,1500,0,0,0,expressway,6,0,heavyvehicle,Medium
2024-09-23 00:00:00,Namakkal,9,0,9,32,0.9,608,71,1500,0,0,0,expressway,7,0,heavyvehicle,Medium
2024-01-25 00:00:00,Perambalur,9,3,1,28,25.9,602,18,800,0,0,0,arterial,2,0,2wheeler,High
2024-12-04 00:00:00,Tiruppur,7,2,12,30,0.3,748,11,500,0,0,0,local,3,0,2wheeler,Critical
2024-04-08 00:00:00,Kallakurichi,9,0,4,35,5.4,625,72,1500,0,0,0,expressway,7,0,3wheeler,Medium
2024-11-06 00:00:00,Virudhunagar,9,2,11,25,12.4,671,16,800,0,0,0,arterial,3,0,3wheeler,High
2024-07-06 00:00:00,Perambalur,9,5,7,29,1.0,655,47,1200,0,1,0,highway,5,0,car,Medium
2024-05-30 00:00:00,Tirupathur,9,3,5,41,12.2,642,64,1500,0,0,0,expressway,7,0,mixed,Medium
2024-03-02 00:00:00,Tenkasi,7,5,3,37,1.4,706,56,1500,0,1,0,expressway,6,0,2wheeler,Medium
2024-02-13 00:00:00,Ramanathapuram,7,1,2,27,0.9,626,60,1500,0,0,0,expressway,7,0,lcv,Medium
2024-06-01 00:00:00,Tiruvarur,9,5,6,37,0.9,612,76,1500,0,1,0,expressway,6,3,3wheeler,Medium
2024-08-17 00:00:00,Coimbatore,9,5,8,28,0.7,813,7,500,0,1,0,local,3,0,heavyvehicle,Critical
2024-10-04 00:00:00,Viluppuram,7,4,10,28,5.1,677,43,1200,0,0,0,highway,5,0,mixed,Medium
2024-01-19 00:00:00,Coimbatore,7,4,1,23,0.7,785,65,1500,0,0,1,expressway,6,0,cycle,High
2024-11-30 00:00:00,Kallakurichi,7,5,11,30,1.6,645,69,1500,0,1,0,expressway,7,0,heavyvehicle,Medium
2024-08-07 00:00:00,Salem,7,2,8,28,0.3,769,17,500,0,0,0,local,3,0,cycle,Critical
2024-04-11 00:00:00,Chennai,9,3,4,36,0.2,838,22,800,0,0,0,arterial,2,1,lcv,Critical
2024-10-21 00:00:00,Tiruchirappalli,8,0,10,26,1.3,782,5,500,0,0,0,local,2,0,mixed,Critical
2024-10-13 00:00:00,Cuddalore,9,6,10,31,1.4,681,43,1200,0,1,0,highway,5,0,lcv,Medium
2024-03-07 00:00:00,Cuddalore,9,3,3,39,1.1,618,53,1200,0,0,0,highway,4,0,mixed,Medium
2024-12-19 00:00:00,Viluppuram,8,3,12,29,0.8,719,71,1500,0,0,0,expressway,6,0,truck,Medium
2024-02-17 00:00:00,Kallakurichi,7,5,2,25,2.7,639,24,800,0,1,0,arterial,2,0,2wheeler,High
2024-06-28 00:00:00,Viluppuram,9,4,6,39,13.9,573,22,800,0,0,0,arterial,3,0,3wheeler,High
2024-07-27 00:00:00,Kallakurichi,8,5,7,28,0.5,613,27,800,0,1,0,arterial,2,0,cycle,High
2024-08-14 00:00:00,Tiruvallur,7,2,8,29,6.2,682,22,800,0,0,0,arterial,3,0,mixed,High
2024-06-19 00:00:00,Namakkal,7,2,6,38,0.6,659,10,500,0,0,0,local,2,0,bus,Critical
2024-03-17 00:00:00,Tiruvarur,9,6,3,36,12.3,683,26,800,0,1,0,arterial,3,0,3wheeler,High
2024-01-26 00:00:00,Salem,9,4,1,25,13.5,660,49,1200,0,0,0,highway,5,1,3wheeler,High
2024-04-11 00:00:00,Namakkal,7,3,4,41,0.6,683,45,1200,0,0,0,highway,4,0,2wheeler,Medium
2024-06-22 00:00:00,Tenkasi,9,5,6,38,2.0,655,17,500,0,1,0,local,3,2,mixed,Critical
2024-10-25 00:00:00,Virudhunagar,9,4,10,27,0.5,628,53,1200,0,0,0,highway,5,0,cycle,Medium
2024-05-11 00:00:00,Ranipet,7,5,5,39,0.4,571,48,1200,0,1,0,highway,5,0,3wheeler,Medium
2024-06-10 00:00:00,Chennai,8,0,6,39,0.0,909,41,1200,0,0,0,highway,4,0,cycle,Critical
2024-09-23 00:00:00,Virudhunagar,7,0,9,28,1.9,730,64,1500,0,0,0,expressway,7,0,3wheeler,Medium
2024-01-05 00:00:00,Theni,8,4,1,27,1.2,577,27,800,0,0,0,arterial,2,0,lcv,High
