timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-09-17 00:00:00,Sivaganga,19,1,9,33,0.9,694,70,1500,0,0,0,expressway,7,0,bus,Medium
2024-01-13 00:00:00,Pudukkottai,17,5,1,29,1.7,623,30,800,0,1,0,arterial,3,0,mixed,High
2024-02-09 00:00:00,Ranipet,17,4,2,24,6.6,718,70,1500,0,0,0,expressway,7,0,3wheeler,Medium
2024-02-07 00:00:00,Tiruvarur,17,2,2,29,1.5,658,11,500,0,0,0,local,3,2,3wheeler,Critical
2024-06-12 00:00:00,Nilgiris,19,2,6,37,0.4,635,27,800,0,0,0,arterial,3,0,3wheeler,High
2024-08-28 00:00:00,Tirunelveli,17,2,8,28,5.8,707,48,1200,0,0,0,highway,4,0,car,Medium
2024-06-03 00:00:00,Tirupathur,18,0,6,40,13.0,619,32,800,0,0,0,arterial,3,1,2wheeler,High
2024-04-20 00:00:00,Tirunelveli,18,5,4,41,13.4,671,16,500,0,1,1,local,3,0,2wheeler,Critical
2024-10-26 00:00:00,Karur,18,5,10,26,0.3,680,18,500,0,1,0,local,3,0,car,Critical
2024-01-24 00:00:00,Tenkasi,18,2,1,28,26.7,646,28,800,0,0,0,arterial,3,0,mixed,High
2024-12-13 00:00:00,Krishnagiri,18,4,12,25,0.5,597,5,500,0,0,0,local,2,0,2wheeler,Critical
2024-08-25 00:00:00,Tenkasi,20,6,8,31,1.2,465,6,500,0,1,0,local,3,0,lcv,High
2024-05-29 00:00:00,Tiruvarur,17,2,5,36,0.6,624,51,1200,0,0,0,highway,5,0,mixed,Medium
2024-10-03 00:00:00,Nilgiris,18,3,10,31,1.1,694,27,800,0,0,0,arterial,2,0,lcv,High
2024-06-23 00:00:00,Mayiladuthurai,19,6,6,36,1.2,598,11,500,0,1,0,local,3,0,lcv,Critical
2024-05-21 00:00:00,Mayiladuthurai,17,1,5,36,1.9,636,14,500,0,0,0,local,3,0,mixed,Critical
2024-12-29 00:00:00,Chennai,20,6,12,26,0.3,721,64,1500,0,1,0,expressway,7,0,3wheeler,Medium
2024-05-24 00:00:00,Tiruvallur,18,4,5,38,0.3,585,5,500,0,0,0,local,2,0,lcv,Critical
2024-09-24 00:00:00,Tiruvallur,20,1,9,31,25.4,522,59,1200,0,0,0,highway,4,0,car,Medium
2024-03-15 00:00:00,Cuddalore,19,4,3,37,0.6,651,20,800,0,0,0,arterial,2,2,2wheeler,High
2024-11-23 00:00:00,Ramanathapuram,20,5,11,26,1.4,478,17,500,0,1,0,local,3,0,mixed,High
2024-03-01 00:00:00,Tiruvallur,20,4,3,39,1.0,394,81,1500,0,0,0,expressway,6,0,2wheeler,Low
2024-02-14 00:00:00,Krishnagiri,19,2,2,29,0.1,599,9,500,0,0,0,local,2,0,lcv,Critical
2024-10-05 00:00:00,Ariyalur,20,5,10,28,2.0,524,61,1200,0,1,0,highway,5,0,car,Low
2024-01-22 00:00:00,Krishnagiri,19,0,1,25,0.1,727,12,800,0,0,0,arterial,3,2,cycle,Critical
2024-07-31 00:00:00,Coimbatore,20,2,7,27,3.0,636,15,500,0,0,0,local,2,0,2wheeler,Critical
2024-08-26 00:00:00,Kallakurichi,17,0,8,32,13.4,640,50,1200,0,0,0,highway,4,0,mixed,Medium
2024-02-08 00:00:00,Dindigul,20,3,2,26,0.5,462,28,800,0,0,0,arterial,2,0,lcv,Medium
2024-02-18 00:00:00,Thoothukudi,17,6,2,23,1.3,683,15,800,0,1,0,arterial,2,0,car,High
2024-11-21 00:00:00,Tirunelveli,19,3,11,28,3.3,649,20,800,0,0,0,arterial,3,0,mixed,High
2024-11-16 00:00:00,Nagapattinam,18,5,11,27,5.1,621,53,1200,0,1,0,highway,4,0,cycle,Medium
2024-09-14 00:00:00,Mayiladuthurai,20,5,9,27,3.9,428,30,800,0,1,0,arterial,3,0,mixed,Medium
2024-08-06 00:00:00,Dharmapuri,19,1,8,32,26.2,586,56,1200,0,0,0,highway,4,0,cycle,High
2024-07-12 00:00:00,Nagapattinam,20,4,7,28,25.3,454,84,1500,0,0,0,expressway,7,2,cycle,Medium
2024-09-22 00:00:00,Ranipet,18,6,9,29,0.7,674,30,800,0,1,0,arterial,3,0,truck,High
2024-08-19 00:00:00,Namakkal,18,0,8,27,1.1,606,18,800,0,0,0,arterial,2,0,lcv,High
2024-04-10 00:00:00,Coimbatore,18,2,4,37,13.7,827,5,500,0,0,0,local,3,0,cycle,Critical
2024-04-10 00:00:00,Coimbatore,19,2,4,36,1.8,756,11,800,0,0,0,arterial,3,0,2wheeler,Critical
2024-06-23 00:00:00,Ranipet,17,6,6,39,3.6,730,24,800,0,1,0,arterial,3,1,lcv,Critical
2024-02-21 00:00:00,Namakkal,20,2,2,23,0.4,523,57,1200,0,0,0,highway,4,1,2wheeler,Low
2024-06-27 00:00:00,Chennai,19,3,6,37,1.5,862,7,800,0,0,0,arterial,3,1,heavyvehicle,Critical
2024-07-12 00:00:00,Cuddalore,18,4,7,28,12.7,571,26,800,0,0,0,arterial,3,1,bus,High
2024-03-16 00:00:00,Ramanathapuram,20,5,3,37,13.5,407,17,500,0,1,0,local,2,0,lcv,High
2024-11-08 00:00:00,Kallakurichi,18,4,11,30,3.8,706,17,500,0,0,0,local,2,1,cycle,Critical
2024-01-10 00:00:00,Salem,19,2,1,28,7.0,792,36,1200,0,0,0,highway,5,0,bus,High
2024-03-04 00:00:00,Dindigul,19,0,3,38,0.5,672,7,500,0,0,0,local,2,0,bus,Critical
2024-05-05 00:00:00,Theni,17,6,5,36,0.7,725,44,1200,0,1,0,highway,5,0,cycle,High
2024-08-19 00:00:00,Mayiladuthurai,20,0,8,30,1.6,439,17,500,0,0,0,local,2,1,car,High
2024-08-21 00:00:00,Nilgiris,18,2,8,32,0.3,698,5,500,0,0,0,local,2,0,heavyvehicle,Critical
2024-01-08 00:00:00,Tiruvallur,17,0,1,25,1.3,651,24,800,0,0,0,arterial,2,1,mixed,High
2024-12-18 00:00:00,Ranipet,17,2,12,25,1.1,603,23,800,0,0,0,arterial,2,3,cycle,Critical
2024-01-19 00:00:00,Salem,17,4,1,27,0.4,670,20,800,0,0,0,arterial,3,0,2wheeler,High
2024-11-08 00:00:00,Tirunelveli,19,4,11,27,0.1,611,73,1500,0,0,0,expressway,6,0,car,Medium
2024-04-07 00:00:00,Coimbatore,18,6,4,36,1.8,802,35,1200,0,1,0,highway,4,0,2wheeler,High
2024-12-09 00:00:00,Tiruvarur,20,0,12,30,1.3,449,27,800,0,0,0,arterial,3,0,mixed,Medium
2024-07-05 00:00:00,Virudhunagar,19,4,7,29,1.5,573,17,500,0,0,0,local,2,1,3wheeler,Critical
2024-08-21 00:00:00,Salem,17,2,8,29,0.8,683,14,800,0,0,0,arterial,3,0,lcv,Critical
