timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-02-10 00:00:00,Viluppuram,0,5,2,24,1.9,462,75,1500,0,1,0,expressway,6,1,car,Low
2024-08-25 00:00:00,Tenkasi,0,6,8,31,0.9,478,78,1500,0,1,0,expressway,6,0,lcv,Low
2024-07-17 00:00:00,Dharmapuri,0,2,7,27,5.1,446,85,1500,0,0,0,expressway,6,0,3wheeler,Low
2024-05-29 00:00:00,Kanyakumari,0,2,5,35,6.7,416,74,1500,0,0,0,expressway,6,0,3wheeler,Low
2024-11-02 00:00:00,Dharmapuri,0,5,11,27,1.9,374,86,1500,0,1,0,expressway,6,0,car,Low
2024-02-07 00:00:00,Mayiladuthurai,0,2,2,29,1.8,402,59,1200,0,0,0,highway,5,0,2wheeler,Low
2024-04-08 00:00:00,Dindigul,0,0,4,40,0.6,403,56,1200,0,0,0,highway,4,0,truck,Low
2024-12-16 00:00:00,Tiruchirappalli,0,0,12,27,0.1,517,62,1200,0,0,0,highway,4,3,lcv,Medium
2024-06-08 00:00:00,Perambalur,0,5,6,39,1.6,394,73,1500,0,1,0,expressway,6,1,2wheeler,Low
2024-01-06 00:00:00,Tenkasi,0,5,1,25,1.1,488,51,1200,0,1,0,highway,4,1,3wheeler,Medium
2024-03-07 00:00:00,Thoothukudi,0,3,3,39,1.4,386,63,1200,0,0,0,highway,4,2,heavyvehicle,Medium
2024-11-25 00:00:00,Cuddalore,0,0,11,27,0.9,387,66,1200,0,0,0,highway,5,0,2wheeler,Low
2024-04-23 00:00:00,Nilgiris,0,1,4,37,1.7,448,51,1200,0,0,0,highway,4,0,lcv,Low
2024-05-16 00:00:00,Tiruchirappalli,0,3,5,36,1.4,517,58,1200,0,0,0,highway,5,0,mixed,Medium
2024-02-11 00:00:00,Tiruppur,0,6,2,23,0.2,455,50,1200,0,1,0,highway,4,0,car,Medium
2024-01-29 00:00:00,Cuddalore,0,0,1,23,0.1,503,79,1500,0,0,0,expressway,7,2,bus,Medium
2024-07-15 00:00:00,Tirunelveli,0,0,7,29,12.5,446,53,1200,0,0,0,highway,4,0,cycle,Medium
2024-07-18 00:00:00,Vellore,0,3,7,27,3.4,484,58,1200,0,0,0,highway,5,0,heavyvehicle,Medium
2024-04-13 00:00:00,Viluppuram,0,5,4,41,26.1,418,53,1200,0,1,0,highway,4,0,3wheeler,Medium
2024-02-20 00:00:00,Tiruvarur,0,1,2,25,2.0,451,56,1200,0,0,0,highway,5,0,3wheeler,Low
2024-04-27 00:00:00,Tirupathur,0,5,4,38,1.9,467,78,1500,0,1,0,expressway,6,0,heavyvehicle,Medium
2024-11-28 00:00:00,Tiruchirappalli,0,3,11,25,13.2,584,56,1200,0,0,0,highway,4,0,mixed,Medium
2024-08-27 00:00:00,Mayiladuthurai,0,1,8,29,13.2,458,56,1200,0,0,0,highway,5,1,truck,Medium
2024-08-08 00:00:00,Dharmapuri,0,3,8,27,0.5,388,61,1200,0,0,0,highway,5,0,3wheeler,Low
2024-04-20 00:00:00,Karur,0,5,4,40,1.4,400,65,1200,0,1,0,highway,4,0,lcv,Low
2024-12-23 00:00:00,Erode,0,0,12,29,1.4,488,71,1500,0,0,0,expressway,6,0,car,Low
2024-08-13 00:00:00,Sivaganga,0,1,8,32,0.3,476,54,1200,0,0,0,highway,4,0,2wheeler,Low
2024-12-09 00:00:00,Tiruchirappalli,0,0,12,26,5.6,519,52,1200,0,0,0,highway,4,3,2wheeler,Medium
2024-02-14 00:00:00,Cuddalore,0,2,2,23,5.5,484,57,1200,0,0,0,highway,5,0,car,Low
2024-10-09 00:00:00,Chennai,0,2,10,27,0.8,656,48,1200,0,0,0,highway,4,0,heavyvehicle,High
2024-11-18 00:00:00,Thoothukudi,0,0,11,29,0.1,376,57,1200,0,0,0,highway,5,0,2wheeler,Low
2024-05-18 00:00:00,Tirupathur,0,5,5,40,0.6,377,78,1500,0,1,0,expressway,7,1,3wheeler,Low
2024-09-21 00:00:00,Viluppuram,0,5,9,27,0.2,409,56,1200,0,1,0,highway,5,3,bus,Medium
2024-12-19 00:00:00,Ariyalur,0,3,12,25,5.0,488,59,1200,0,0,0,highway,4,0,3wheeler,Low
2024-02-21 00:00:00,Ramanathapuram,0,2,2,27,0.2,380,77,1500,0,0,0,expressway,6,2,2wheeler,Low
2024-12-22 00:00:00,Tirupathur,0,6,12,28,0.3,434,80,1500,0,1,0,expressway,7,0,lcv,Low
2024-01-02 00:00:00,Karur,0,1,1,28,0.1,424,71,1500,0,0,0,expressway,7,0,car,Low
2024-12-12 00:00:00,Krishnagiri,0,3,12,27,0.3,454,80,1500,0,0,0,expressway,6,0,3wheeler,Low
2024-08-16 00:00:00,Tenkasi,0,4,8,27,0.9,463,81,1500,0,0,0,expressway,6,0,lcv,Low
2024-12-08 00:00:00,Perambalur,0,6,12,29,0.0,437,72,1500,0,1,1,expressway,6,0,lcv,Low
2024-05-23 00:00:00,Nilgiris,0,3,5,36,0.2,497,77,1500,0,0,0,expressway,6,0,cycle,Low
