timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-02-24 00:00:00,Mayiladuthurai,0,5,2,23,0.9,419,59,1200,0,1,0,highway,4,0,car,Low
2024-02-24 00:00:00,Mayiladuthurai,0,5,2,29,1.1,478,9,500,0,1,0,local,3,0,cycle,High
2024-08-10 00:00:00,Thoothukudi,0,5,8,28,1.9,410,29,800,0,1,0,arterial,3,0,lcv,Medium
2024-12-21 00:00:00,Erode,0,5,12,30,25.8,416,28,800,0,1,0,arterial,3,0,truck,High
2024-08-31 00:00:00,Virudhunagar,0,5,8,31,0.3,381,80,1500,0,1,0,expressway,6,0,lcv,Low
2024-07-27 00:00:00,Coimbatore,0,5,7,27,12.9,512,31,800,0,1,0,arterial,2,0,car,High
2024-08-18 00:00:00,Ranipet,0,6,8,31,3.6,423,64,1200,0,1,0,highway,4,0,cycle,Medium
2024-07-13 00:00:00,Karur,0,5,7,32,13.2,468,72,1500,0,1,0,expressway,7,1,lcv,Medium
2024-02-17 00:00:00,Erode,0,5,2,26,0.9,534,27,800,0,1,0,arterial,3,1,heavyvehicle,High
2024-11-23 00:00:00,Thoothukudi,0,5,11,29,6.7,454,53,1200,0,1,0,highway,5,0,mixed,Medium
2024-07-13 00:00:00,Salem,0,5,7,32,0.4,453,10,500,0,1,0,local,3,0,mixed,High
2024-01-27 00:00:00,Ranipet,0,5,1,27,13.0,467,49,1200,0,1,0,highway,4,2,cycle,Medium
2024-09-14 00:00:00,Salem,0,5,9,32,1.5,489,54,1200,0,1,0,highway,5,2,car,Medium
2024-01-27 00:00:00,Chennai,0,5,1,26,0.2,749,11,800,0,1,0,arterial,2,0,bus,Critical
2024-08-24 00:00:00,Coimbatore,0,5,8,32,13.7,545,28,800,0,1,0,arterial,2,0,2wheeler,High
2024-02-24 00:00:00,Kallakurichi,0,5,2,25,25.3,525,68,1500,0,1,0,expressway,7,0,lcv,Medium
2024-01-27 00:00:00,Vellore,0,5,1,23,0.0,447,15,500,0,1,0,local,3,0,bus,High
2024-12-07 00:00:00,Cuddalore,0,5,12,28,1.8,468,38,800,0,1,0,arterial,3,0,3wheeler,Medium
2024-05-11 00:00:00,Sivaganga,0,5,5,39,1.6,427,65,1200,0,1,1,highway,5,0,heavyvehicle,Medium
2024-01-13 00:00:00,Namakkal,0,5,1,26,26.2,373,77,1500,0,1,0,expressway,7,0,car,Medium
2024-11-23 00:00:00,Erode,0,5,11,28,6.4,484,5,500,0,1,0,local,2,0,mixed,Critical
2024-04-21 00:00:00,Salem,0,6,4,40,26.1,480,84,1500,0,1,0,expressway,6,0,2wheeler,Medium
2024-06-15 00:00:00,Dharmapuri,0,5,6,38,0.5,514,7,500,0,1,1,local,2,0,car,High
2024-02-03 00:00:00,Dindigul,0,5,2,24,1.7,469,5,500,0,1,0,local,3,0,truck,High
2024-12-07 00:00:00,Kancheepuram,0,5,12,29,1.0,506,59,1200,0,1,0,highway,4,0,truck,Medium
2024-11-02 00:00:00,Tiruvallur,0,5,11,31,12.2,461,74,1500,0,1,0,expressway,7,0,heavyvehicle,Medium
2024-11-30 00:00:00,Tiruvallur,0,5,11,28,0.6,477,7,500,0,1,0,local,3,0,truck,High
2024-08-24 00:00:00,Nagapattinam,0,5,8,32,0.6,441,28,800,0,1,0,arterial,2,0,truck,Medium
2024-08-24 00:00:00,Mayiladuthurai,0,5,8,27,1.9,454,49,1200,0,1,0,highway,5,0,heavyvehicle,Medium
2024-02-11 00:00:00,Erode,0,6,2,26,1.6,426,53,1200,0,1,0,highway,4,1,car,Medium
2024-08-03 00:00:00,Tiruchirappalli,0,5,8,31,6.2,545,9,500,0,1,0,local,2,0,3wheeler,Critical
2024-12-07 00:00:00,Tiruvallur,0,5,12,26,0.2,499,77,1500,0,1,0,expressway,6,1,mixed,Low
2024-12-28 00:00:00,Salem,0,5,12,29,26.9,574,14,500,0,1,0,local,2,1,truck,Critical
2024-02-03 00:00:00,Tirunelveli,0,5,2,24,0.6,525,6,500,0,1,0,local,2,0,cycle,Critical
2024-01-13 00:00:00,Tenkasi,0,5,1,23,1.4,406,37,800,0,1,0,arterial,3,0,3wheeler,Medium
2024-05-11 00:00:00,Kancheepuram,0,5,5,36,25.5,517,61,1200,0,1,0,highway,5,2,lcv,Medium
2024-03-31 00:00:00,Tirupathur,0,6,3,37,0.9,426,81,1500,0,1,0,expressway,7,0,truck,Low
2024-04-13 00:00:00,Tiruvannamalai,0,5,4,40,6.0,448,35,800,0,1,0,arterial,2,0,mixed,Medium
