timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-05-20 00:00:00,Theni,0,0,5,40,5.6,413,73,1500,0,0,0,expressway,7,2,heavyvehicle,Medium
2024-01-31 00:00:00,Nagapattinam,0,2,1,26,1.3,496,71,1500,0,0,0,expressway,7,1,bus,Low
2024-06-30 00:00:00,Thoothukudi,0,6,6,41,1.7,407,66,1200,0,1,0,highway,4,0,lcv,Low
2024-01-21 00:00:00,Dindigul,0,6,1,28,26.9,408,79,1500,0,1,0,expressway,7,0,heavyvehicle,Medium
2024-04-07 00:00:00,Mayiladuthurai,0,6,4,41,0.2,475,76,1500,0,1,0,expressway,7,0,bus,Low
2024-07-13 00:00:00,Cuddalore,0,5,7,28,1.8,512,35,800,0,1,0,arterial,2,0,heavyvehicle,Medium
2024-12-25 00:00:00,Theni,0,2,12,30,0.9,473,53,1200,0,0,0,highway,4,0,truck,Medium
2024-12-23 00:00:00,Madurai,0,0,12,28,1.7,512,37,800,0,0,0,arterial,3,0,bus,High
2024-05-17 00:00:00,Ramanathapuram,0,4,5,37,1.6,486,77,1500,0,0,0,expressway,7,1,heavyvehicle,Medium
2024-11-03 00:00:00,Nilgiris,0,6,11,28,13.4,469,28,800,0,1,0,arterial,2,1,heavyvehicle,High
2024-06-07 00:00:00,Thanjavur,0,4,6,38,1.6,511,74,1500,0,0,0,expressway,7,0,heavyvehicle,Low
2024-12-26 00:00:00,Ariyalur,0,3,12,30,6.1,404,44,800,0,0,0,arterial,2,0,bus,Medium
2024-10-16 00:00:00,Viluppuram,0,2,10,31,12.7,497,72,1500,0,0,0,expressway,7,1,lcv,Medium
2024-02-01 00:00:00,Tenkasi,0,3,2,24,12.1,380,24,500,0,0,0,local,2,0,truck,High
2024-02-13 00:00:00,Theni,0,1,2,25,3.1,447,83,1500,0,0,0,expressway,7,2,truck,Medium
2024-05-04 00:00:00,Chengalpattu,0,5,5,38,5.8,447,78,1500,0,1,0,expressway,7,2,lcv,Medium
2024-10-13 00:00:00,Salem,0,6,10,29,0.4,577,74,1500,0,1,1,expressway,7,0,lcv,Medium
2024-06-24 00:00:00,Nagapattinam,0,0,6,36,12.7,487,7,500,0,0,0,local,3,0,bus,High
2024-05-23 00:00:00,Dindigul,0,3,5,36,0.7,499,17,500,0,0,0,local,2,0,truck,High
2024-01-18 00:00:00,Kallakurichi,0,3,1,27,13.5,403,7,500,0,0,0,local,3,0,bus,High
2024-12-12 00:00:00,Cuddalore,0,3,12,31,1.7,372,32,800,0,0,0,arterial,2,0,truck,Medium
2024-05-10 00:00:00,Viluppuram,0,4,5,36,25.9,482,39,800,0,0,0,arterial,2,0,bus,Medium
2024-11-12 00:00:00,Mayiladuthurai,0,1,11,30,1.7,429,61,1200,0,0,0,highway,5,1,bus,Medium
2024-10-07 00:00:00,Nagapattinam,0,0,10,30,12.5,375,25,500,0,0,0,local,2,0,heavyvehicle,High
2024-06-09 00:00:00,Kallakurichi,0,6,6,36,6.0,414,62,1200,0,1,0,highway,5,2,truck,Medium
2024-03-22 00:00:00,Tiruvallur,0,4,3,36,0.1,530,16,500,0,0,0,local,3,0,truck,High
2024-01-20 00:00:00,Dindigul,0,5,1,29,0.2,521,9,500,0,1,0,local,2,2,heavyvehicle,Critical
2024-10-22 00:00:00,Karur,0,1,10,25,12.6,517,50,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-09-29 00:00:00,Cuddalore,0,6,9,27,0.4,499,73,1500,0,1,0,expressway,6,1,bus,Medium
2024-05-05 00:00:00,Salem,0,6,5,36,5.8,553,11,500,0,1,0,local,3,0,bus,Critical
2024-06-04 00:00:00,Salem,0,1,6,41,5.9,488,39,800,0,0,0,arterial,3,0,lcv,Medium
2024-03-22 00:00:00,Ariyalur,0,4,3,35,1.5,478,75,1500,0,0,0,expressway,7,1,truck,Low
2024-04-07 00:00:00,Tiruppur,0,6,4,38,3.5,465,5,500,0,1,0,local,3,0,heavyvehicle,Critical
2024-04-12 00:00:00,Viluppuram,0,4,4,39,0.3,391,45,800,0,0,0,arterial,2,0,truck,Medium
2024-11-10 00:00:00,Tiruchirappalli,0,6,11,29,0.0,539,50,1200,0,1,0,highway,4,2,lcv,Medium
2024-02-07 00:00:00,Tenkasi,0,2,2,26,26.3,514,8,500,0,0,0,local,3,0,lcv,High
2024-07-28 00:00:00,Karur,0,6,7,32,25.7,444,17,500,0,1,0,local,2,0,truck,High
2024-07-13 00:00:00,Madurai,0,5,7,31,2.3,580,70,1500,0,1,0,expressway,7,2,bus,Medium
2024-01-07 00:00:00,Tiruvarur,0,6,1,27,0.8,415,18,500,0,1,0,local,2,0,lcv,High
2024-04-06 00:00:00,Salem,0,5,4,35,1.3,571,21,800,0,1,0,arterial,2,0,bus,High
2024-03-21 00:00:00,Tiruppur,0,3,3,36,0.6,550,64,1500,0,0,0,expressway,7,0,heavyvehicle,Medium
2024-12-17 00:00:00,Tiruvallur,0,1,12,27,0.3,408,64,1200,0,0,0,highway,4,1,heavyvehicle,Medium
2024-02-26 00:00:00,Tiruvarur,0,0,2,25,1.0,501,53,1200,0,0,1,highway,4,1,bus,Medium
2024-09-23 00:00:00,Thoothukudi,0,0,9,33,1.3,500,8,500,0,0,0,local,2,0,truck,High
2024-11-07 00:00:00,Karur,0,3,11,29,1.6,439,79,1500,0,0,0,expressway,6,1,lcv,Low
2024-06-26 00:00:00,Tiruvannamalai,0,2,6,37,3.1,529,23,800,0,0,0,arterial,3,0,heavyvehicle,Medium
2024-06-16 00:00:00,Ariyalur,0,6,6,41,1.8,459,14,500,0,1,0,local,2,1,heavyvehicle,High
2024-01-01 00:00:00,Madurai,0,0,1,25,1.9,481,51,1200,0,0,0,highway,4,0,truck,Medium
2024-06-01 00:00:00,Chennai,0,5,6,37,1.6,634,5,500,0,1,0,local,2,0,bus,Critical
2024-11-03 00:00:00,Thoothukudi,0,6,11,27,1.0,507,56,1200,0,1,0,highway,4,1,lcv,Medium
2024-11-22 00:00:00,Dindigul,0,4,11,30,0.6,447,42,800,0,0,0,arterial,2,0,heavyvehicle,Medium
2024-02-12 00:00:00,Nagapattinam,0,0,2,25,1.1,439,11,500,0,0,0,local,2,0,heavyvehicle,High
2024-03-22 00:00:00,Nagapattinam,0,4,3,41,0.5,474,71,1500,0,0,0,expressway,7,0,bus,Low
2024-10-19 00:00:00,Krishnagiri,0,5,10,29,12.4,463,60,1200,0,1,0,highway,4,0,heavyvehicle,Medium
2024-08-04 00:00:00,Tiruchirappalli,0,6,8,29,0.4,542,80,1500,0,1,0,expressway,6,0,heavyvehicle,Medium
2024-01-30 00:00:00,Viluppuram,0,1,1,24,0.3,449,19,500,0,0,0,local,2,0,lcv,High
2024-05-08 00:00:00,Tiruvarur,0,2,5,35,0.5,375,58,1200,0,0,0,highway,5,0,bus,Low
2024-12-18 00:00:00,Salem,0,2,12,30,5.9,579,30,800,0,0,0,arterial,2,0,bus,High
2024-10-21 00:00:00,Viluppuram,0,0,10,30,0.0,382,23,500,0,0,0,local,3,0,lcv,Medium
2024-10-28 00:00:00,Perambalur,0,0,10,31,1.4,519,49,1200,0,0,0,highway,4,1,truck,Medium
2024-03-09 00:00:00,Chengalpattu,0,5,3,36,1.9,469,35,800,0,1,0,arterial,2,0,truck,Medium
2024-03-03 00:00:00,Thoothukudi,0,6,3,35,7.0,432,12,500,0,1,0,local,2,0,bus,High
2024-09-10 00:00:00,Krishnagiri,0,1,9,27,1.8,508,54,1200,0,0,0,highway,4,0,truck,Medium
2024-05-24 00:00:00,Virudhunagar,0,4,5,35,1.8,404,20,500,0,0,0,local,2,0,heavyvehicle,High
2024-05-01 00:00:00,Erode,0,2,5,35,6.3,529,76,1500,0,0,0,expressway,7,0,heavyvehicle,Medium
2024-12-14 00:00:00,Tiruvallur,0,5,12,26,0.6,400,32,800,0,1,0,arterial,3,0,truck,Medium
2024-09-25 00:00:00,Viluppuram,0,2,9,29,1.6,476,71,1500,0,0,0,expressway,7,1,bus,Low
2024-09-06 00:00:00,Krishnagiri,0,4,9,33,1.9,526,17,500,0,0,0,local,3,0,truck,High
2024-05-02 00:00:00,Cuddalore,0,3,5,41,1.5,400,55,1200,0,0,0,highway,5,0,bus,Low
2024-08-05 00:00:00,Tirupathur,0,0,8,32,26.6,427,38,800,0,0,0,arterial,3,0,bus,Medium
2024-11-19 00:00:00,Tiruvallur,0,1,11,29,2.5,380,75,1500,0,0,0,expressway,7,0,lcv,Low
2024-03-30 00:00:00,Viluppuram,0,5,3,39,26.2,440,73,1500,0,1,0,expressway,7,1,heavyvehicle,Medium
2024-09-04 00:00:00,Nilgiris,0,2,9,28,0.3,477,5,500,0,0,0,local,3,0,bus,High
2024-04-06 00:00:00,Thanjavur,0,5,4,35,1.0,509,73,1500,0,1,0,expressway,7,3,heavyvehicle,Medium
2024-08-05 00:00:00,Perambalur,0,0,8,27,6.1,449,59,1200,0,0,0,highway,4,0,lcv,Low
2024-10-24 00:00:00,Chennai,0,3,10,31,1.3,683,24,800,0,0,0,arterial,2,0,bus,Critical
2024-07-04 00:00:00,Cuddalore,0,3,7,29,0.4,433,55,1200,0,0,0,highway,5,1,heavyvehicle,Medium
2024-05-19 00:00:00,Pudukkottai,0,6,5,41,13.5,450,84,1500,0,1,1,expressway,7,0,heavyvehicle,Medium
