timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-09-20 00:00:00,Dharmapuri,4,4,9,33,1.5,418,21,500,0,0,0,local,2,0,mixed,High
2024-10-08 00:00:00,Krishnagiri,4,1,10,29,0.1,520,67,1500,0,0,0,expressway,7,0,mixed,Low
2024-04-17 00:00:00,Kancheepuram,3,2,4,36,0.3,499,32,800,0,0,0,arterial,3,0,cycle,Medium
2024-01-02 00:00:00,Nilgiris,2,1,1,27,0.9,426,51,1200,0,0,0,highway,4,0,truck,Medium
2024-08-19 00:00:00,Kallakurichi,1,0,8,30,6.1,422,84,1500,0,0,0,expressway,6,2,bus,Medium
2024-10-16 00:00:00,Sivaganga,1,2,10,31,0.8,470,50,1200,0,0,0,highway,4,0,3wheeler,Low
2024-04-21 00:00:00,Karur,1,6,4,39,2.6,428,16,500,0,1,0,local,3,0,truck,High
2024-09-16 00:00:00,Tenkasi,1,0,9,28,0.1,503,80,1500,0,0,0,expressway,6,3,car,Medium
2024-05-05 00:00:00,Thanjavur,2,6,5,38,2.3,552,78,1500,0,1,0,expressway,7,0,mixed,Low
2024-02-28 00:00:00,Erode,2,2,2,29,0.9,511,76,1500,0,0,0,expressway,6,0,bus,Low
2024-12-06 00:00:00,Namakkal,5,4,12,26,1.0,516,49,1200,0,0,0,highway,4,0,lcv,Medium
2024-01-13 00:00:00,Sivaganga,23,5,1,29,13.0,388,44,800,0,1,0,arterial,2,0,cycle,Medium
2024-03-05 00:00:00,Tiruppur,5,1,3,38,0.6,584,44,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-06-03 00:00:00,Chengalpattu,1,0,6,39,1.6,500,5,500,0,0,0,local,3,0,heavyvehicle,High
2024-04-15 00:00:00,Perambalur,2,0,4,41,13.7,515,36,800,0,0,0,arterial,2,1,heavyvehicle,High
2024-10-06 00:00:00,Viluppuram,5,6,10,28,0.2,387,11,500,0,1,0,local,2,0,3wheeler,High
2024-03-26 00:00:00,Tirupathur,1,1,3,40,0.5,423,11,500,0,0,0,local,2,1,truck,High
2024-09-05 00:00:00,Erode,2,3,9,30,0.3,504,32,800,0,0,0,arterial,3,1,heavyvehicle,High
2024-07-08 00:00:00,Dindigul,22,0,7,29,1.1,472,63,1200,0,0,0,highway,5,0,bus,Low
2024-01-14 00:00:00,Kallakurichi,4,6,1,28,2.6,486,8,500,1,1,0,local,2,1,3wheeler,Critical
2024-09-11 00:00:00,Kallakurichi,2,2,9,27,1.7,445,83,1500,0,0,0,expressway,6,1,heavyvehicle,Medium
2024-12-25 00:00:00,Viluppuram,5,2,12,26,0.9,504,23,800,0,0,0,arterial,2,1,car,Medium
2024-01-05 00:00:00,Chennai,3,4,1,24,1.9,622,11,500,0,0,0,local,2,0,mixed,Critical
2024-08-09 00:00:00,Dindigul,22,4,8,27,0.9,426,56,1200,0,0,0,highway,4,0,heavyvehicle,Medium
2024-04-13 00:00:00,Chengalpattu,2,5,4,36,1.4,447,16,500,0,1,0,local,3,0,lcv,High
2024-04-21 00:00:00,Nagapattinam,23,6,4,40,0.3,398,77,1500,0,1,0,expressway,6,0,3wheeler,Low
2024-12-10 00:00:00,Coimbatore,22,1,12,31,25.3,577,11,500,0,0,0,local,2,0,cycle,Critical
2024-03-09 00:00:00,Erode,1,5,3,38,0.1,507,31,800,0,1,0,arterial,2,0,bus,Medium
2024-12-08 00:00:00,Tiruvannamalai,23,6,12,31,1.0,431,7,500,0,1,0,local,2,1,heavyvehicle,High
2024-01-04 00:00:00,Chennai,0,3,1,27,5.4,709,27,800,0,0,0,arterial,2,1,cycle,Critical
2024-06-05 00:00:00,Kallakurichi,23,2,6,39,5.5,399,38,800,0,0,0,arterial,2,0,lcv,Medium
2024-02-01 00:00:00,Nagapattinam,4,3,2,29,3.7,507,11,500,0,0,0,local,2,0,3wheeler,High
2024-02-19 00:00:00,Tiruchirappalli,2,0,2,28,12.2,500,26,800,0,0,0,arterial,2,1,3wheeler,High
2024-08-22 00:00:00,Nilgiris,4,3,8,33,2.0,517,70,1500,0,0,0,expressway,7,1,3wheeler,Low
2024-11-21 00:00:00,Krishnagiri,1,3,11,30,2.2,524,49,1200,0,0,0,highway,4,0,car,Low
2024-04-02 00:00:00,Tiruchirappalli,1,1,4,37,0.9,555,5,500,0,0,0,local,3,0,lcv,Critical
2024-06-23 00:00:00,Krishnagiri,4,6,6,38,1.2,389,21,500,0,1,0,local,3,0,2wheeler,High
2024-09-26 00:00:00,Dharmapuri,22,3,9,30,1.9,426,9,500,0,0,0,local,3,0,cycle,High
2024-03-25 00:00:00,Kanyakumari,3,0,3,37,0.5,414,58,1200,0,0,0,highway,4,0,2wheeler,Low
2024-01-05 00:00:00,Virudhunagar,2,4,1,26,0.7,483,38,800,0,0,0,arterial,2,2,car,Medium
2024-05-05 00:00:00,Cuddalore,2,6,5,39,3.4,372,20,500,0,1,0,local,2,0,car,High
2024-03-03 00:00:00,Namakkal,4,6,3,38,5.7,471,79,1500,0,1,0,expressway,7,0,3wheeler,Low
2024-03-29 00:00:00,Vellore,23,4,3,37,0.1,525,25,800,0,0,0,arterial,2,0,bus,Medium
2024-04-26 00:00:00,Sivaganga,5,4,4,41,1.2,477,12,500,0,0,1,local,3,0,3wheeler,High
2024-05-31 00:00:00,Dharmapuri,3,4,5,37,0.7,392,44,800,0,0,0,arterial,2,0,mixed,Medium
2024-05-15 00:00:00,Tirupathur,22,2,5,40,1.9,507,5,500,0,0,0,local,2,0,car,High
