timestamp,district,hour,day_of_week,month,temperature,rainfall,vehicle_count,avg_speed,road_capacity,is_holiday,is_weekend,special_event,road_type,lane_count,accidents_nearby,vehicle_type,congestion_level
2024-04-30 04:00:00,Chennai,4,1,4,37,0.5,746,14,800,0,0,0,arterial,2,0,3wheeler,Critical
2024-07-22 12:00:00,Chennai,12,0,7,28,1.2,677,47,1200,0,0,0,highway,4,0,2wheeler,Medium
2024-08-01 22:00:00,Chennai,22,3,8,33,6.9,676,7,500,0,0,0,local,3,1,heavyvehicle,Critical
2024-08-25 18:00:00,Chennai,18,6,8,32,0.5,940,50,1500,0,1,0,expressway,7,0,2wheeler,High
2024-07-12 04:00:00,Chennai,4,4,7,29,0.4,665,47,1200,0,0,0,highway,5,0,bus,High
2024-08-14 08:00:00,Chennai,8,2,8,29,1.1,901,11,500,0,0,1,local,3,0,cycle,Critical
2024-12-14 17:00:00,Chennai,17,5,12,26,1.5,852,51,1500,0,1,0,expressway,7,0,bus,High
2024-11-29 04:00:00,Chennai,4,4,11,27,6.7,720,57,1500,0,0,0,expressway,6,0,car,Medium
2024-11-12 04:00:00,Chennai,4,1,11,30,25.1,748,21,800,0,0,0,arterial,3,0,truck,Critical
2024-07-24 03:00:00,Chennai,3,2,7,29,0.7,635,66,1500,0,0,0,expressway,6,2,mixed,Medium
2024-11-06 11:00:00,Chennai,11,2,11,27,3.0,728,20,800,0,0,0,arterial,3,2,lcv,Critical
2024-06-18 15:00:00,Chennai,15,1,6,40,12.1,649,15,800,0,0,0,arterial,3,0,bus,Critical
2024-07-29 00:00:00,Chennai,0,0,7,29,0.0,731,26,800,0,0,1,arterial,3,1,heavyvehicle,Critical
2024-06-19 00:00:00,Chennai,0,2,6,41,0.4,644,73,1500,0,0,0,expressway,6,0,truck,Medium
2024-05-03 07:00:00,Chennai,7,4,5,38,12.4,847,10,500,0,0,0,local,2,0,3wheeler,Critical
2024-11-15 09:00:00,Chennai,9,4,11,25,1.2,822,33,1200,0,0,0,highway,4,0,3wheeler,Critical
2024-02-16 09:00:00,Chennai,9,4,2,23,2.7,874,16,800,0,0,0,arterial,2,0,heavyvehicle,Critical
2024-11-05 09:00:00,Chennai,9,1,11,28,5.3,897,16,800,0,0,0,arterial,3,0,car,Critical
2024-06-09 23:00:00,Chennai,23,6,6,40,12.8,645,13,500,0,1,0,local,2,0,lcv,Critical
